AREALVA,CAMPINAS,362
ARAÇATUBA,CAMPINAS,469
ARAÇATUBA,SÃO PAULO,338
ARAXÁ,CONFINS,443
CABO FRIO,CONFINS,516
CONFINS,RIO DE JANEIRO,381
CONFINS,GUARULHOS,482
CONFINS,GOVERNADOR VALADARES,626
CONFINS,SANTANA DO PARAÍSO,681
CONFINS,CAMPINAS,652
CONFINS,MONTES CLAROS,582
CONFINS,RIBEIRÃO PRETO,972
CONFINS,SÃO PAULO,419
CONFINS,SÃO JOSÉ DO RIO PRETO,820
CONFINS,UBERLÂNDIA,747
CONFINS,UBERABA,647
CONFINS,VARGINHA,767
CONFINS,VITÓRIA,815
CONFINS,GOIANÁ,304
CONFINS,MANHUAÇU,383
CONFINS,PATOS DE MINAS,495
CONFINS,TEÓFILO OTONI,1032
CONFINS,PARACATU,480
CAMPOS DOS GOYTACAZES,CAMPINAS,578
CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,886
CAMPOS DOS GOYTACAZES,VITÓRIA,391
PRESIDENTE PRUDENTE,GUARULHOS,275
PRESIDENTE PRUDENTE,CAMPINAS,427
PRESIDENTE PRUDENTE,SÃO PAULO,314
RIO DE JANEIRO,GUARULHOS,485
RIO DE JANEIRO,CAMPINAS,552
RIO DE JANEIRO,SÃO PAULO,490
RIO DE JANEIRO,VITÓRIA,340
GUARULHOS,MONTES CLAROS,400
GUARULHOS,RIBEIRÃO PRETO,340
GUARULHOS,SÃO JOSÉ DO RIO PRETO,328
GUARULHOS,UBERLÂNDIA,335
GUARULHOS,VITÓRIA,432
GUARULHOS,GOIANÁ,237
SANTANA DO PARAÍSO,SÃO PAULO,530
JUNDIAÍ,RIO DE JANEIRO,292
JUNDIAÍ,SÃO PAULO,115
CAMPINAS,MACAÉ,577
CAMPINAS,MARÍLIA,350
CAMPINAS,RIBEIRÃO PRETO,495
CAMPINAS,SÃO JOSÉ DO RIO PRETO,408
CAMPINAS,UBERLÂNDIA,544
CAMPINAS,UBERABA,1070
CAMPINAS,VITÓRIA,532
CAMPINAS,GOIANÁ,352
MACAÉ,RIO DE JANEIRO,670
MONTES CLAROS,SÃO PAULO,464
MARÍLIA,AREALVA,2071
RIBEIRÃO PRETO,RIO DE JANEIRO,715
RIBEIRÃO PRETO,SÃO PAULO,382
RIBEIRÃO PRETO,SÃO JOSÉ DO RIO PRETO,2500
SÃO PAULO,SÃO JOSÉ DO RIO PRETO,365
SÃO PAULO,UBERLÂNDIA,362
SÃO PAULO,UBERABA,305
SÃO PAULO,VITÓRIA,403
SÃO PAULO,GOIANÁ,282
ARAÇATUBA,GUARULHOS,242
CABO FRIO,MONTES CLAROS,975
PRESIDENTE PRUDENTE,RIBEIRÃO PRETO,1690
GUARULHOS,SANTANA DO PARAÍSO,878
GUARULHOS,UBERABA,775
SANTANA DO PARAÍSO,RIBEIRÃO PRETO,1547
JUNDIAÍ,CONFINS,229
RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,978
MACAÉ,CAMPOS DOS GOYTACAZES,453
MONTES CLAROS,RIO DE JANEIRO,654
MONTES CLAROS,CAMPINAS,1524
RIBEIRÃO PRETO,MONTES CLAROS,1144
UBERLÂNDIA,RIO DE JANEIRO,505
UBERLÂNDIA,SANTANA DO PARAÍSO,660
UBERLÂNDIA,MONTES CLAROS,815
UBERLÂNDIA,RIBEIRÃO PRETO,1235
UBERLÂNDIA,SÃO JOSÉ DO RIO PRETO,1328
VITÓRIA,RIBEIRÃO PRETO,1031
GOIANÁ,MONTES CLAROS,1127
GOIANÁ,RIBEIRÃO PRETO,1083
